StAndId	Lat	Long	Lcounts
K315	371678.2	3000908.2	0
E34	369970.1	3000942.1	0
G19	370991.1	3001081.1	0
A16	371802.1	3001522.1	0
A24	371820.1	3001494.1	0
A313	371830.1	3001490.1	1
C123	371315.1	3001054.1	0
C125	371315.1	3001058.1	0
C13	371343.1	3001032.1	2
C32	371318.1	3001069.1	0
D37	370008.1	3001348.1	0
F113	371464.1	3001075.1	0
G21	370970.1	3001084.1	0
J16	371149.1	3000886.1	0
K114	371685.1	3000906.1	3
K12	371663.1	3000905.1	0
K212	371687.1	3000906.1	0
K213	371692.1	3000906.1	0
E311	369962.1	3000931.1	1
E318	369955.1	3000922.1	0
F311	371478.1	3001071.1	0
G322	371009.1	3001070.1	0
J219	371131.1	3000858.1	0
K216	371688.1	3000906.1	2
K223	371706.1	3000906.1	0
B112	370866.1	3001109.1	0
D27	370006.1	3001363.1	0
F119	371457.1	3001066.1	0
G121	371014.1	3001076.1	0
H123	369809.1	3000831.1	0
H17	369778.1	3000834.1	1
K15	371668.1	3000905.1	0
B18	370858.1	3001112.1	0
D14	369975.1	3001367.1	0
H114	369792.1	3000830.1	0
J31	371163.1	3000889.1	0
B116	370869.1	3001107.1	0
D19	369973.1	3001356.1	0
F123	371452.1	3001062.1	0
F37	371484.1	3001082.1	0
B122	370881.1	3001099.1	1
B27	370851.1	3001107.1	0
H316	369776.1	3000819.1	0
H25	369771.1	3000836.1	0
A21	371818.1	3001490.1	0
B25	370849.1	3001109.1	0
C39	371328.1	3001065.1	5
J112	371136.1	3000875.1	0
J26	371148.1	3000880.1	2
G213	370991.1	3001080.1	1
G215	370996.1	3001078.1	1
E21	369985.1	3000955.1	0
G111	370993.1	3001081.1	6
H312	369774.1	3000821.1	1
C318	371339.1	3001046.1	1
C221	371331.1	3001052.1	0
E118	369975.1	3000935.1	0
H16	369776.1	3000836.1	0
J13	371151.1	3000893.1	0
E111	369980.1	3000946.1	0
D217	369988.1	3001356.1	0
A211	371827.1	3001510.1	0
H11	369764.1	3000843.1	7
D223	369983.1	3001343.1	0
D16	369975.1	3001362.1	0
D117	369973.1	3001339.1	0
H31	369763.1	3000838.1	0
A37	371836	3001497	2
D316	369994	3001337	0
B322	370877	3001084	0
B36	370853	3001099	0
F223	371462	3001054	0
K112	371680	3000904	2
K113	371682	3000904	1
K31	371657	3000919	0
K28	371675	3000906	3
B110	370859	3001112	0
G110	370991	3001081	0
G113	370996	3001079	5
C23	371313	3001061	1
G116	371003	3001079	0
G124	371019	3001074	0
H34	369766	3000837	0
C217	371326	3001059	2
E115	369977	3000942	0
E321	369950	3000917	0
C224	371334	3001048	2
E36	369970	3000942	0
D24	370014	3001365	0
H113	369787	3000830	2
F17	371470	3001089	0
D215	369991	3001360	0
B22	370844	3001113	0
E220	369975	3000920	0
E211	369984	3000935	0
J123	371124	3000864	0
H322	369766	3000804	0
A32	371843	3001503	3
E224	369970	3000913	0
D320	369989	3001330	0
A314	371830	3001490	0
D321	369988	3001328	0
C14	371343	3001032	3
J322	371133	3000857	0
B311	370861	3001094	0
F218	371467	3001062	1
J312	371151	3000875	1
D38	370008	3001348	0
J324	371129	3000855	0
J35	371159	3000884	0
K13	371663	3000905	1
B222	370876	3001094	0
